"sample_id","PC1","PC2","PC3"
"MCL1-DG",0.912271722751494,1.11072794943925,0.211221546809823
"MCL1-DH",1.04435262459905,0.144537225541277,-0.123457214829127
"MCL1-DI",0.258531955654251,1.48795977392967,-0.149108984740845
"MCL1-DJ",0.365263302844551,0.554812658917949,-0.640742651763004
"MCL1-DK",0.306283269686194,-0.380135883313484,-0.550297920704
"MCL1-DL",0.75287866876742,-1.27218812010652,-0.627189502423397
"MCL1-LA",1.6409441443332,-0.787813285523962,0.769796580126028
"MCL1-LB",1.50225885109117,0.223675215095428,0.453103393502959
"MCL1-LC",-0.510601274657742,-0.500614320850643,0.274195823747497
"MCL1-LD",-0.758817960798383,-0.789654595539392,0.0504144921868038
"MCL1-LE",-2.76266911165939,0.11405803001858,0.219491026000989
"MCL1-LF",-2.75069619261182,0.0946353523918499,0.112573412086276
