"component","standard_deviation","variance","proportion_variance","cumulative_variance"
"PC1",1.46995583572168,2.16077015897222,0.720256719657407,0.720256719657407
"PC2",0.803754225359239,0.64602085478283,0.21534028492761,0.935597004585017
"PC3",0.439555441605436,0.193208986244949,0.0644029954149832,1
