LookupName,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,InChIKey,SourceURL
"acetic acid","176","C2H4O2","60.05","CC(=O)O","CC(=O)O","QTBSBXVTEAMEQO-UHFFFAOYSA-N","https://pubchem.ncbi.nlm.nih.gov/compound/176"
"propanoic acid","1032","C3H6O2","74.08","CCC(=O)O","CCC(=O)O","XBDQKXXYIPTUBI-UHFFFAOYSA-N","https://pubchem.ncbi.nlm.nih.gov/compound/1032"
"butanoic acid","264","C4H8O2","88.11","CCCC(=O)O","CCCC(=O)O","FERIUCNNQQJTOY-UHFFFAOYSA-N","https://pubchem.ncbi.nlm.nih.gov/compound/264"
"pentanoic acid","7991","C5H10O2","102.13","CCCCC(=O)O","CCCCC(=O)O","NQPDZGIKBAWPEJ-UHFFFAOYSA-N","https://pubchem.ncbi.nlm.nih.gov/compound/7991"
"hexanoic acid","8892","C6H12O2","116.16","CCCCCC(=O)O","CCCCCC(=O)O","FUZZWVXGSFPDMH-UHFFFAOYSA-N","https://pubchem.ncbi.nlm.nih.gov/compound/8892"
"heptanoic acid","8094","C7H14O2","130.18","CCCCCCC(=O)O","CCCCCCC(=O)O","MNWFXJYAOYHMED-UHFFFAOYSA-N","https://pubchem.ncbi.nlm.nih.gov/compound/8094"
"octanoic acid","379","C8H16O2","144.21","CCCCCCCC(=O)O","CCCCCCCC(=O)O","WWZKQHOCKIZLMA-UHFFFAOYSA-N","https://pubchem.ncbi.nlm.nih.gov/compound/379"
